,Indicator,Country,Date,value,Year,Month
198,Cumulative number of suspected Ebola cases,Nigeria,2015-03-04,0.0,2015,3
199,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-04,20.0,2015,3
200,Cumulative number of confirmed Ebola cases,Senegal,2015-03-04,1.0,2015,3
201,Cumulative number of probable Ebola cases,Senegal,2015-03-04,0.0,2015,3
202,Cumulative number of suspected Ebola cases,Senegal,2015-03-04,0.0,2015,3
203,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-04,1.0,2015,3
204,Cumulative number of confirmed Ebola cases,Spain,2015-03-04,1.0,2015,3
205,Cumulative number of probable Ebola cases,Spain,2015-03-04,0.0,2015,3
206,Cumulative number of suspected Ebola cases,Spain,2015-03-04,0.0,2015,3
207,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-04,1.0,2015,3
208,Cumulative number of confirmed Ebola cases,United States of America,2015-03-04,4.0,2015,3
209,Cumulative number of probable Ebola cases,United States of America,2015-03-04,0.0,2015,3
210,Cumulative number of suspected Ebola cases,United States of America,2015-03-04,0.0,2015,3
211,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-04,4.0,2015,3
212,Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-04,7.0,2015,3
213,Cumulative number of probable Ebola deaths,Nigeria,2015-03-04,1.0,2015,3
214,Cumulative number of suspected Ebola deaths,Nigeria,2015-03-04,0.0,2015,3
215,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-04,8.0,2015,3
216,Cumulative number of confirmed Ebola deaths,Senegal,2015-03-04,0.0,2015,3
217,Cumulative number of probable Ebola deaths,Senegal,2015-03-04,0.0,2015,3
218,Cumulative number of suspected Ebola deaths,Senegal,2015-03-04,0.0,2015,3
219,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-04,0.0,2015,3
220,Cumulative number of confirmed Ebola deaths,Spain,2015-03-04,0.0,2015,3
221,Cumulative number of probable Ebola deaths,Spain,2015-03-04,0.0,2015,3
222,Cumulative number of suspected Ebola deaths,Spain,2015-03-04,0.0,2015,3
223,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-04,0.0,2015,3
224,Cumulative number of confirmed Ebola deaths,United States of America,2015-03-04,1.0,2015,3
225,Cumulative number of probable Ebola deaths,United States of America,2015-03-04,0.0,2015,3
226,Cumulative number of suspected Ebola deaths,United States of America,2015-03-04,0.0,2015,3
227,"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-04,1.0,2015,3
228,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-04,3205.0,2015,3
229,Cumulative number of confirmed Ebola cases,Guinea,2015-03-04,2808.0,2015,3
230,Cumulative number of probable Ebola cases,Guinea,2015-03-04,392.0,2015,3
231,Cumulative number of suspected Ebola cases,Guinea,2015-03-04,5.0,2015,3
232,"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-04,2127.0,2015,3
233,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-04,1735.0,2015,3
234,Cumulative number of probable Ebola deaths,Guinea,2015-03-04,392.0,2015,3
235,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-04,9265.0,2015,3
236,Cumulative number of confirmed Ebola cases,Liberia,2015-03-04,3153.0,2015,3
237,Cumulative number of probable Ebola cases,Liberia,2015-03-04,1888.0,2015,3
238,Cumulative number of suspected Ebola cases,Liberia,2015-03-04,4224.0,2015,3
239,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-04,4057.0,2015,3
240,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-04,11443.0,2015,3
241,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-04,8353.0,2015,3
242,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-04,287.0,2015,3
243,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-04,2803.0,2015,3
244,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-04,3530.0,2015,3
245,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-04,3164.0,2015,3
246,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-04,208.0,2015,3
247,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-04,158.0,2015,3
248,Cumulative number of confirmed Ebola cases,United Kingdom,2015-03-02,1.0,2015,3
249,Cumulative number of probable Ebola cases,United Kingdom,2015-03-02,0.0,2015,3
250,Cumulative number of suspected Ebola cases,United Kingdom,2015-03-02,0.0,2015,3
251,"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-03-02,0.0,2015,3
252,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-02,3205.0,2015,3
253,Cumulative number of confirmed Ebola cases,Guinea,2015-03-02,2808.0,2015,3
